heading,location,content,id,area,n_bedrooms,n_bathrooms,Price
Flat for sale in Malasaña (Madrid),"Chueca - Justicia, Madrid city","Spacious and bright flat located in a beautiful classic building from 1900. The house is sold completely demolished and we offer two proposals of distribution of three and four bedrooms, three bathrooms, with large living room, kitchen.

Two flats per floor and storage room.

The house is delivered demolished and ready to start renovation. Community 120 euros, IBI 900 euros. 

Located between the neighbourhoods of Chueca and Conde Duque, bordering Gran Vía to the south, Malasaña represents an explosion of life in the centre of the capital. Very well communicated with the whole city by several metro and bus lines, and close to the best cinema, theatres and restaurants.

Can you imagine living here?",VM2407033,180 m2,4,3,"€ 1,060,000"
Flat for sale in El Viso (Madrid),"El Viso, Madrid city","aProperties offers for sale this wonderful flat of 234 m² in the area El viso-Bernabéu. It is a ground floor of 234 m² according to the land registry, of which 197 m² are housing, totally exterior, with 9 windows to the street, very bright and with a lot of charm.

At present the flat is divided into two areas, one is housing and the other is used as an office. The flat is distributed in a large living room with built-in kitchen, two spacious bedrooms with complete bathroom en suite and a practical courtesy toilet. On the other hand, the office is composed of two large offices, a small kitchen, a bathroom and a waiting room. The property was completely refurbished in 2020 with the best qualities, it has air conditioning, central heating, entry phone and lift.

This is a unique opportunity to live in one of the most sought-after and distinguished neighbourhoods in Madrid, close to shops, leisure areas, schools, health centres and with unbeatable communications.

Can you imagine living here?

Translated with DeepL.com (free version)",VM2407021,234 m2,4,4,"€ 1,400,000"
Apartment for sale in el Viso,"El Viso, Madrid city","In the best area of Viso, a few meters from Paseo de la Habana, we find this beautiful apartment of 230m² useful, with main entrance and service door. The day area consists of an entrance hall leading to the living room and dining room. The kitchen is spacious and very bright, and has a maid's room and bathroom. As for the sleeping area, there are three bedrooms sharing a bathroom, and a master bedroom en suite. In addition, the hall has a courtesy bathroom. The property has two parking spaces in the same building, and storage room.

Can you imagine living here?",VM2407023,366 m2,5,4,"€ 2,650,000"
House for sale with Terrace in Fuente del Fresno - Fresno Norte (San Sebastián de los Reyes),"Fuente del Fresno - Fresno Norte, Madrid Norte","639 sqm house with Terrace in Fuente del Fresno - Fresno Norte, San Sebastián de los Reyes.The property has 5 bedrooms, 4 bathrooms, swimming pool, fireplace, 3 parking spaces, air conditioning, fitted wardrobes, laundry room, garden,  heating and storage room.",VMN2407002,639 m2,5,5,"€ 1,795,000"
Detached villa for sale in Urbanizacion Bonanza,"Bonanza, Madrid Noroeste","aProperties presents this unique property in the exclusive urbanisation of Bonanza. The 343 m² property is built on a large plot of 2.782 m² according to the land registry. It has a beautiful consolidated garden and enjoys a lot of privacy thanks to its excellent orientation and location.

Built in 1971, the house is distributed over two floors and offers interesting possibilities for renovation. On the first floor there is a spacious entrance hall, a living/dining room with fireplace, living room, library, an office, a large bedroom with dressing room and bathroom en suite, a maid's room with bathroom en suite and a spacious and bright kitchen, an adjoining dining room with access to a large glazed winter terrace with fireplace and exit to the garden. The first floor has two bedrooms and a complete bathroom. In addition, the upper floor has several attic spaces with windows and storage areas. In the garden we find a wide variety of trees, including fruit trees, a large gazebo fully equipped with kitchen and wood oven to host celebrations with gazebo, a large indoor swimming pool, tennis court, changing rooms with bathroom, greenhouse and private access to the green area. This property offers total tranquillity and privacy, just a few minutes from main roads, schools and services. The urbanisation has 24 h security. Don't miss the opportunity to visit this wonderful property and enjoy an exclusive and exclusive lifestyle in the heart of nature.

Location Description

Welcome to this charming neighbourhood, where convenience and variety intertwine to create a unique experience. Within walking distance, you will find a selection of points of interest that are sure to satisfy your daily needs. Just a 6-minute walk away, you'll discover Flor de Almíbar, a fruit and vegetable shop offering fresh, quality produce. With its long opening hours, from 09:30 to 20:30 from Monday to Friday and until 15:30 on weekends, you will always have the opportunity to stock up on healthy food. In addition, a 15-minute walk away, you can reach Sánchez Romero, a supermarket that offers everything you could possibly need for your pantry. In addition to the convenience of grocery shops, just a 7-minute walk away is Renato, a Mediterranean restaurant that is sure to delight your palate with its exquisite dishes. With its cosy atmosphere and delicious food, this place presents itself as an excellent choice to enjoy a special meal or simply dine out. With a total of 3 points of interest in the food and beverage category within a 15-minute radius, this development offers a variety that will surely satisfy your daily needs and provide you with options to enjoy special moments.In this area you can access an interesting offer of prestigious public and private international schools such as Higlands College, St. Michael's, Trinity College, Virgen de Europa, Aquinas American School or CEU San Pablo, among others. The location of the property allows quick access to the roads M516, M50.

Can you imagine living here?",VMO2407002,343 m2,4,3,"€ 995,000"
Flat for sale in  Paseo de La Habana  (Madrid),"Bernabéu - Hispanoamérica, Madrid city","Welcome to your new home on the prestigious Paseo de La Habana in Madrid! This spectacular flat of 174 square metres built and 125 useful metres redefines the concept of luxury and comfort in one of the most exclusive areas of the city.

Every room of this property is exterior, which guarantees an abundance of natural light and enchanting views. Upon entering, you will be greeted by an elegant hallway that leads to a spacious and bright living room, ideal for relaxing or entertaining guests. The kitchen is a true foodie's dream, equipped with a modern island and dining table, perfect for enjoying your daily meals.

The flat features two en-suite bedrooms, each designed for maximum comfort and privacy. Imagine waking up every morning to the fresh breeze and sunlight streaming through your windows.

In addition, the estate of just 16 neighbours offers a number of exclusive amenities, including a private garden where you can relax and a communal swimming pool to cool off on hot days. You also have your own garage on the estate with direct access to the house, which adds an extra level of convenience.

The building is equipped with an aerothermal system for air conditioning and hot water, guaranteeing energy efficiency and optimal comfort all year round.

The location is simply unbeatable. Paseo de La Habana is one of the most sought-after areas of Madrid, with a wide range of services and amenities at your fingertips. Within walking distance you will find excellent luxury restaurants such as:

DiverXO: The restaurant of the famous chef Dabiz Muñoz, with three Michelin stars, offers a unique and innovative culinary experience.

In addition, you will be close to the Mercado de Chamartín, ideal for your daily shopping for fresh, quality produce.

For families, the proximity to several prestigious international schools is a great advantage, offering quality education just minutes from home. In addition, you will be well connected to the rest of the city thanks to excellent public transport options.

Another advantage of this location is its proximity to Berlin Park, a green space perfect for strolling, exercising or enjoying a picnic with the family.

Don't miss the opportunity to live in this oasis of tranquillity and luxury in the heart of Madrid, come and see your future home in Paseo de La Habana!

Can you imagine living here?",VM2407020,174 m2,2,2,"€ 1,200,000"
Penthouse for sale in Majadahonda,"Monte del Pilar, Madrid Noroeste","aProperties presents this exclusive property, a 210 m² duplex penthouse in a luxury development. 
Discover your new home in the heart of Majadahonda, this spectacular duplex penthouse in the exclusive luxury development in Monte del Pilar offers you an unrivalled living experience. With incredible panoramic views and high-end finishes.

The penthouse is distributed over two floors, with three bedrooms and three bathrooms. On the upper floor the master bedroom en suite and dressing room with access to the spectacular terrace where you can enjoy stunning views and exceptional luminosity, on the same floor you can enjoy an open space with access to the terrace also due to the great luminosity can be adapted as a desk, office or reading area, also this floor has direct access from the lift directly to the floor providing maximum comfort and accessibility to housing.

On the entrance floor we find a large and bright living-dining room with natural light and beautiful views to the gardens of the spectacular urbanization, also on the same floor there are 2 bedrooms en suite, a guest toilet and a luxurious kitchen with high-end appliances and access to the laundry area.

This penthouse is characterised by its spacious, warm and pleasant spaces, with immemorial materials and excellent qualities.The urbanization has a full range of amenities: heated swimming pool, summer swimming pool, adult and children's pool, paddle tennis, tennis and basketball courts. You can relax in the extensive garden areas, organise meetings or birthdays in the magnificent social lounge and enjoy access to the gym and sauna, both fully equipped.

With double access to the property, both from the lower and upper floors, this duplex penthouse is the perfect combination of luxury, comfort and style in a privileged natural setting in the heart of Monte del Pilar. Don't miss this unique opportunity to live in a dream location!

Can you imagine living here?",VMO2407003,190 m2,3,4,"€ 1,050,000"
Flat for sale in Guindalera (Madrid),"Guindalera, Madrid city","aProperties presents, exclusively, this spacious and bright flat of 220sqm to be completely refurbished, located on the fifth floor of a good property in a garden area of Parque de las Avenidas, in the neighbourhood of Guindalera, district of Salamanca.

The current distribution presents an entrance hall, a very spacious and bright living room in 3 rooms (living room, dining room and living room) with access to the terrace. It has 5 bedrooms, one of them en suite and two others with direct access to another west facing terrace, and 3 bathrooms.

The kitchen has a laundry terrace. The property has a main and service door, central heating and concierge service.

This is a great opportunity to acquire a very spacious flat on a fifth floor, with terraces and multiple possibilities for refurbishment, given the format of the floor plan, absence of load-bearing walls and great luminosity, as being on a corner, almost all the rooms of the flat are exterior. 

Can you imagine living here?",VM2407017,219 m2,4,3,"€ 835,000"
New building (work) for sale San Sebastián de los Reyes,"Polígono Industrial Norte, Madrid Norte","We present a development of lofts, perfect for living, investing or renting.

In San Sebastián de los Reyes, a stone's throw from Madrid. 

Imagine a modern development where the same spaces dedicated to leisure and entertainment are mixed with work. An area of more than 25,000 m² made up of more than 100 lofts in various modern buildings, with 1 or 2 rooms, penthouses and ground floor apartments with gardens, all with private terraces and garages.

They have been designed so that you do not need to leave your community, you will enjoy paddle tennis courts, swimming pools, gym, special parking for bicycles, coworking rooms, meeting rooms, large terraces, children's areas and landscaped communal areas that serve as a meeting point for the owners.

It is worth coming to visit them with us, you will be pleasantly surprised.

You can walk to IKEA, Plaza Norte II (cinemas), Carrefour, Mercadona, Hospital Infanta Sofia, you have bus to Plaza de Castilla and even Metro (stop Reyes Catolicos).

Call us and make an appointment.

Can you imagine living here?",ONM2407002,42-73 m2,,,"from € 185,000"
Flat for sale in Calle Don Ramon de la Cruz (Madrid),"Lista, Madrid city","Luxury exterior property in Calle Don Ramón de la Cruz, just a few metres from the Retiro. It is located between the main arteries of the Salamanca neighbourhood, such as Calle Jose Ortega y Gasset, Príncipe de Vergara and Goya.

From the flat we have easy access to different metro and bus lines, such as Lista metro stop (line 4), 200 m away; De Goya metro stop (Lines 2 and 4), 650 m away; Núñez de Balboa metro stop (Lines 2 and 6), 800 m away.

The building dates back to 1940, with a large entrance hall, lift, porter service and 3 neighbours per floor. The south-facing façade with unobstructed views provides us with optimal lighting throughout the day.

Inside, we find 3 double bedrooms, one of them en suite; 2 complete bathrooms and a social area that joins the living-dining room and kitchen, creating an innovative and cosmopolitan environment.

The property has been refurbished to the highest standards, including oak parquet flooring, integrated Bosch appliances, double glazed windows and ducted air conditioning in all rooms. It is also worth mentioning that it is delivered furnished, with a well cared for and distinguished interior design.

Can you imagine living here?",VM2407018,123 m2,3,2,"€ 1,250,000"
Flat for sale in calle Don Ramón de la Cruz (Madrid),"Lista, Madrid city","Located in the prestigious Calle Don Ramón de la Cruz, in the exclusive neighbourhood of Lista in the Salamanca district, aProperties is offering this magnificent property for sale as a unique property investment opportunity. It is a very bright interior sixth floor with windows on all four sides, which allows an exceptional amount of natural light to enter, as well as optimum cross ventilation.

It has a built area of 67 m² and is in a state to be refurbished. We have a refurbishment project in which we have studied an excellent distribution of space that has been meticulously planned to take advantage of every corner, offering a comfortable and functional living experience. The day area would consist of a spacious living-dining room with integrated kitchen. The sleeping area is made up of two double bedrooms with two bathrooms, one of them en suite. The property will also have a laundry area and an office area. The property where it is located is a beautiful 1920's building, very well kept and with a magnificent maintenance. Common areas in good condition and accessibility for people with reduced mobility. The area offers a fantastic infrastructure and good services, including efficient public transport lines, schools, and a wide variety of shops and restaurants. 

This is a magnificent opportunity to live in one of the best areas of the capital as well as to obtain a high profitability. Its proximity to the Instituto de Empresa makes it even more attractive to potential tenants and buyers. The constant revaluation of properties in this area guarantees a secure and profitable long-term investment. The photos shown are renderings that reflect the final state of the refurbishment.

Can you imagine living here?",VM2407019,67 m2,2,2,"€ 635,000"
Flat for sale in Embajadores (Madrid),"Embajadores, Madrid city","Refurbished penthouse located in a privileged location, as it is in the heart of Madrid, between two emblematic neighbourhoods such as: Barrio de las Letras and Lavapiés.

Exterior property with lots of natural light, located on the fourth floor of a corner building in the centre of the capital. The property was refurbished with a modern and contemporary design in 2020 and is in perfect condition. It is cosy in height, with spacious rooms. It has a very good distribution that allows the maximum use of the spaces and fitted wardrobes.  

It consists of 1 bedroom and 1 complete exterior bathroom, and a kitchen integrated to the very luminous living-dining room that allows access to an open terrace of 25 m² approx. 

The penthouse is in one of the most modern, safe and comfortable neighbourhoods in Madrid, either to live in or to invest in, it is a very good opportunity due to the high demand for rentals in the area. Surrounded by all kinds of essential services for day to day life: pharmacies, health centres, schools/institutes, nurseries, supermarkets, gyms, parks, theatres and museums, among others (Reina Sofía Museum, Prado Museum or Retiro Park). It has a wide variety of theatres where you can enjoy cultural leisure.

Can you imagine living here?",VM2407022,87 m2,1,1,"€ 580,000"
Flat for sale in calle San Bernardo (Madrid),"Malasaña - Universidad, Madrid city","Located on the 1st floor of a building dating back to 1900, with 128 m², according to the land registry, of which 122 m² are living space. In the exterior area we find the large living room of 40 m² with 2 soundproof balconies to the street with east orientation, a dining room with capacity for 8 people with integrated kitchen, modern style, creating a modern and cozy atmosphere which includes a breakfast bar.

In the more private area there is a hallway with exposed brickwork, three spacious double bedrooms, two of them with their own en-suite bathrooms, a third complete bathroom for the third bedroom and visitors, as well as a wardrobe with washing machine and tumble dryer. It is important to highlight the great luminosity of the main bedroom with large windows to the west facing courtyard.  

It is necessary to highlight the successful refurbishment carried out, both for its modern design, making a successful use of wood and other noble materials, as well as for its excellent execution.  
 
This fantastic flat has air conditioning, hot-cold by conduit, heating by gas radiators. Reformed entrance hall. Community fees 90 €.

Undoubtedly a unique, cheerful and excellently located property.  
 
Can you imagine living here?",VM2407012,128 m2,3,3,"€ 990,000"
Flat for sale in Almagro (Madrid),"Almagro, Madrid city","Situated on the 7th floor of a building dating back to 1950, with 176 m² according to the land registry, of which 140 m² are living space. Thanks to its east-west orientation and the large number of windows, the flat enjoys excellent natural light.

In the exterior area we find the large living-dining room with 5 large windows with west facing views and a guest toilet. 

The modern style kitchen opens onto the living room creating a modern and cosy atmosphere. It is fully panelled and equipped with all the necessary appliances, including a bottle rack, with plenty of storage capacity and has a peninsula with three stools. There is the possibility of separating the kitchen from the living-dining room. The laundry room is located in a separate room.  
 
Inside, although equally bright, there are three spacious double bedrooms with floor to ceiling wardrobes and their own en-suite bathrooms.  

It is necessary to highlight the successful refurbishment carried out, both for its modern design, making a successful use of wood and other noble materials, and for its marvellous execution.  
 
This fantastic flat has air conditioning by air zone duct, central heating and cold water included in the community expenses and individual hot water, electric blinds. Representative entrance hall with high ceilings and excellent doorman. Community fees 320 €. EXEMPT IBI 
 
Undoubtedly a unique, cheerful and excellently located property. 
 
Can you imagine living here?",VM2407013,176 m2,3,4,"€ 2,270,000"
Flat for sale in Prosperidad (Madrid),"Prosperidad, Madrid city","Wonderful exterior and very bright flat available, in the commercial area of Prosperidad. The property is located two minutes from the metro station Cartagena and six minutes from Avenida de America. The flat has high ceilings and an exceptional finish in its 65 metres of living space.

The flat has two bedrooms of similar sizes and a spacious bathroom with shower. The property is delivered furnished and with the kitchen fully equipped with top of the range appliances (oven, washing machine, vitro). Individual natural gas heating.

The property, completely renovated, has maintained its classic essence. Great variety of restaurants and shops. 

Can you imagine living here?",VM2407015,65 m2,2,1,"€ 360,000"
Flat for sale in calle Castelló (Madrid),"Castellana, Madrid city","We present this charming flat recently refurbished and located in the prestigious street of Castelló, in a stately property with a representative doorway and a stone's throw away from Juan Bravo.

The property has 170 m² constructed area according to the land registry and is located on the first floor of the building. Its distribution is as follows, through the entrance hall where we find a practical floor to ceiling wardrobe with great capacity, we give way, on one side, to the magnificent living-dining room with two large windows and to the other side we find the independent designer kitchen with a glass wall that allows the luminosity of the living room to pass through. The night area is made up of three large bedrooms, all with built-in wardrobes from floor to ceiling and three complete bathrooms, the main one en-suite. We would like to highlight the recent refurbishment carried out by the owners, taking care of every detail to the maximum, with high qualities such as wooden flooring in light tones, white lacquered carpentry and thanks to the high ceilings, they provide great amplitude and clarity to all the rooms. The property has a communal area for the use of the neighbours towards which the house faces, as well as a practical storage room of about 5 m² in the basement. The air conditioning is ducted in all the rooms.

The property has a porter service. There is the option of parking in the property opposite and in the surrounding area. The area in which it is located is one of the most sought-after and sought-after and has excellent schools, hospitals and leisure facilities nearby, as well as excellent public transport links. This is a unique opportunity to acquire a family home or to make it profitable in the most sought-after area of the city.

Can you imagine living here?",VM2407014,170 m2,3,3,"€ 1,499,000"
Penthouse for sale in Cardenal Cisneros (Madrid),"Trafalgar, Madrid city","Bright penthouse with terrace in a classic building with a beautiful classic façade in Chamberí, in the representative street of Cardenal Cisneros, surrounded by shops, restaurants and all services. This penthouse is characterised by its magnificent and appetising south-facing terrace, from which you can enjoy pleasant views, its beautiful living room open to the fantastic terrace, its luminosity and the pleasant distribution of its spaces in a spacious living-dining room, with a fully equipped independent kitchen. It has three luminous bedrooms, two of them double. The beautiful master bedroom has an en-suite bathroom, and the property also has a second complete bathroom.

Can you imagine living here?",VM2407006,115 m2,3,2,"€ 1,050,000"
New building (work) for sale in Arturo Soria (Madrid),"Arturo Soria, Madrid city","Homes designed for a modern and casual lifestyle.

The perfect harmony of light and space creates a spectacular sensation of spaciousness and warmth in every corner.
Its terraces, which dot the façade, are distributed throughout the homes, allowing the daily enjoyment of the sky and the sun.
Swimming pool and gardens that will make you feel that any day is an extraordinary day.

Premium location, situated in the sought-after residential area of Arturo Soria, with all the amenities necessary for day-to-day living, without giving up the connection to the new social centre of Madrid.
Just a few minutes away, the Paseo de la Castellana and the surroundings of the Santiago Bernabéu await you to enjoy all the intense commercial, cultural, gastronomic and leisure activities that make Madrid one of the capitals of the world.

The designer kitchen integrated into the living room, following current architectural and interior design trends, provides an open and fluid space that facilitates interaction and invites you to live in a dynamic and connected way, creating unforgettable moments to share.

The bedrooms, with special attention to comfort, are spacious and bright.
Large windows allow natural light to flood the spaces, creating a relaxing atmosphere Your private space, where comfort and tranquillity intertwine, to offer you an exceptional rest.

The bathrooms combine contemporary style with maximum comfort and soft, enveloping lighting, creating a cosy atmosphere. Equipped with modern elements that provide functionality, style and guarantee durability and aesthetics. Every detail has been carefully selected to offer you a comfortable and functional space. Enjoy elegance and wellbeing in a relaxing atmosphere.

Can you imagine living here?",ONM2407001,70-134 m2,,,"from € 542,000"
Flat for sale in Lista (Madrid),"Lista, Madrid city","aProperties offers for sale this magnificent flat completely refurbished, brand new. It is a 2nd floor totally exterior with lots of light and a fantastic terrace of 15 m² fully equipped with outdoor furniture and artificial grass. It has 90 m² constructed area distributed in a large living-dining room with integrated kitchen and direct access to the east facing terrace with unobstructed views. The kitchen is equipped with all top brand appliances. The sleeping area consists of two double bedrooms with fitted wardrobes and two bathrooms, one of them en suite.

The property has been refurbished to the highest quality standards, has natural oak flooring and benefits from ducted air conditioning and gas central heating. The property is delivered fully furnished. The property is a very well maintained building from 1965, with concierge and lift. The property is located very close to the metro station Diego de León. It is a great opportunity to acquire a magnificent property in the Salamanca neighbourhood, in an area close to shops, restaurants, schools, hospitals and company offices.

Can you imagine living here?",VM2407007,90 m2,2,2,"€ 875,000"
Flat for sale in Gaztambide (Madrid),"Gaztambide, Madrid city","Magnificent property for refurbishment in Chamberí. This property, of 207 m² according to the land registry (175 m² of housing and 32 of common elements), is in an exceptional location, next to Princesa street and El Corte Inglés, and only 10 minutes away from Parque del Oeste and Plaza de España.

It is an exterior third floor with lots of natural light and high ceilings. It has 2 large windows to the exterior and a large terrace currently integrated in the living room. The interior part receives natural light from a courtyard. Its two orientations, west and east, offer an optimal cross ventilation. It is distributed in entrance hall, living-dining room, office, 4 bedrooms plus 1 service bedroom, independent kitchen with office, 2 bathrooms and a toilet.

The property has central heating and air conditioning, and a convenient storage room of about 7 m².

The property is located in a stately building designed by the prestigious architect Luis Gutiérrez Soto, author, among many others, of iconic buildings such as the Callao Cinema, the Barceló Theatre or the Fnac Building. The property has a concierge and has a main entrance, with a beautiful classic lift, and a service entrance, also with lift.

The property is segregable.

The Gaztambide neighbourhood belongs to the Chamberí district and is located just a few steps from the Parque del Oeste and Moncloa, very close to Plaza de España and close to the Ciudad Universitaria. It is a quiet residential neighbourhood that mixes beautiful traditional architecture with more modern buildings from the second half of the 20th century. It is surrounded by shops, services and leisure activities, has a wide range of educational opportunities at all levels and is very well communicated. It is a neighbourhood that combines an elegant air with a cheerful modern lifestyle.

Can you imagine living here?",VM2407009,207 m2,4,3,"€ 1,300,000"
Flat for sale in Bernabéu - Hispanoamérica (Madrid),"Bernabéu - Hispanoamérica, Madrid city","Exclusive exterior housing located in one of the most sought after neighborhoods of the capital. In the Bernabéu-Hispanoamérica area, a residential area, surrounded by parks and very close to the Barrio de Salamanca, we find this beautiful apartment in a four-storey building with elevator.

The property, which has been completely renovated and in which all the installations have been replaced, has new high quality wooden floors, smooth walls, new double glazed windows and air conditioning in all rooms.

As for the distribution, the house consists of 3 bedrooms, two bathrooms and a social area where we find the kitchen, fully equipped, and the living-dining area.

Can you imagine living here?",VM2407010,92 m2,3,2,"€ 600,000"
Flat for sale in calle Alcántara (Madrid),"Goya, Madrid city","aProperties presents a brand new flat, perfect as an investment in the heart of the Goya - Salamanca neighbourhood, of 44 m² according to the land registry. 

It is a sixth and last interior floor, very bright with cross ventilation. 

It has 2 bedrooms, a bathroom and a living-dining room with integrated and equipped kitchen. 

Sold furnished. It has air conditioning and individual heating. 

It is in a very well maintained, quiet building with concierge service. 

We find ourselves with an excellent investment opportunity, which can give a high profitability, in one of the most demanded areas of Madrid, the Salamanca neighbourhood, in the surroundings of Ayala and Conde de Peñalver streets. 

Can you imagine living here?",VM2407011,43 m2,2,1,"€ 520,000"
